FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,MARITAL_STATUS,Stato civile,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITF3,Campania,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2023,2739246,,
A,Annuale,ITF3,Campania,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2024,2733422,,
A,Annuale,ITF3,Campania,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2025,2726809,e,Dato stimato
A,Annuale,ITF3,Campania,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2023,2870290,,
A,Annuale,ITF3,Campania,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2024,2860484,,
A,Annuale,ITF3,Campania,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2025,2848216,e,Dato stimato
A,Annuale,ITF3,Campania,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2023,5609536,,
A,Annuale,ITF3,Campania,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2024,5593906,,
A,Annuale,ITF3,Campania,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2025,5575025,e,Dato stimato
A,Annuale,ITF31,Caserta,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2023,444325,,
A,Annuale,ITF31,Caserta,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2024,444833,,
A,Annuale,ITF31,Caserta,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2025,446035,e,Dato stimato
A,Annuale,ITF31,Caserta,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2023,461749,,
A,Annuale,ITF31,Caserta,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2024,461689,,
A,Annuale,ITF31,Caserta,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2025,461407,e,Dato stimato
